ambient_temperature,Re,Rct,SOH
24.25,0.5511112083333334,0.1344445416666667,73.05449043575933
24.25,0.6606897603448275,0.14344838103448276,67.958947252426
24.312,0.5511112083333334,0.1344445416666667,73.05449043575933
24.312,0.5516667652777778,0.13500009861111112,72.76923483064802
24.312,0.6494916237288135,0.14101704745762716,69.13065561369682
24.375,0.5356757716216216,0.1302703662162162,75.37936058507782
24.375,0.5362163162162161,0.13081091081081078,75.08377889301158
24.375,0.558873342253521,0.1363381309859155,72.03984261696249
24.375,0.5588733394366197,0.13633812816901408,72.03984402916261
24.375,0.575072568115942,0.14028995942028985,70.01055196184952
24.375,0.5441096863013698,0.13315078219178084,73.77991864774035
24.375,0.5668572428571429,0.13828581428571432,71.02519903476602
24.437,0.5668572471428571,0.13828581857142858,71.02519694630104
24.375,0.650169593220339,0.14169501694915257,68.81559757403336
24.375,0.6501695898305085,0.14169501355932207,68.81559914186036
24.375,0.5756522739130434,0.14086966521739128,69.73718474066673
24.375,0.6393334333333334,0.13933343333333337,69.9819636346102
24.375,0.6393334300000001,0.13933343000000006,69.98196522901054
24.375,0.5674286728571428,0.1388572442857143,70.74786719646333
24.375,0.5516667638888889,0.13500009722222225,72.76923554088923
24.437,0.608888980952381,0.1326985047619048,73.48106349046107
24.437,0.53675685,0.13135144459459455,74.79060392477302
24.437,0.6095239063492063,0.1333334301587301,73.1478139460838
24.5,0.5674286714285715,0.13885724285714288,70.74786788697564
24.5,0.5600000985915493,0.13746488732394369,71.47953397936071
24.562,0.6095239047619047,0.13333342857142852,73.14781477527754
24.5,0.6088889825396825,0.13269850634920638,73.48106265340088
24.562,0.6288525590163934,0.13704928032786887,71.14832888470023
24.5,0.6386667666666667,0.1386667666666667,70.30236003144756
24.437,0.5600001014084507,0.13746489014084506,71.47953258991384
24.437,0.6393334333333334,0.13933343333333337,69.9819636346102
24.5,0.6187097741935484,0.13483880645161292,72.31469575576388
24.5,0.5600001,0.13746488873239437,71.47953328463727
24.5,0.5441096876712328,0.13315078356164384,73.77991792763467
24.437,0.5441096863013698,0.13315078219178084,73.77991864774035
24.437,0.5446576301369863,0.13369872602739727,73.49304197877935
24.437,0.5522223194444444,0.13555565277777779,72.48628797907003
24.437,0.5452055753424657,0.13424667123287673,73.20847541744615
24.437,0.6393334333333334,0.13933343333333337,69.9819636346102
24.437,0.5372973918918919,0.1318919864864865,74.49979597848863
24.437,0.6193549387096774,0.13548397096774187,71.98673671820926
24.437,0.6193549322580645,0.135483964516129,71.98673998233708
24.437,0.5674286742857143,0.13885724571428573,70.74786650595102
24.437,0.5680001028571429,0.1394286742857143,70.4727786097742
24.437,0.5600001042253521,0.13746489295774647,71.479531200467
24.375,0.5680001,0.13942867142857146,70.4727799796514
24.375,0.6295082950819672,0.13770501639344257,70.82566192526873
24.25,-0.53999985,14.46000015,0.0
24.312,0.5762319855072464,0.14144937681159422,69.46602597994212
24.312,0.6508475593220339,0.14237298305084742,68.50350907525991
24.375,0.662069070689655,0.14482769137931029,67.34243188687078
24.375,0.5762319855072464,0.14144937681159422,69.46602597994212
24.375,0.5527778722222222,0.13611120555555553,72.20562098750032
24.375,-1.0799999,28.920000099999996,0.0
24.375,0.5367568527027027,0.1313514472972973,74.79060246483267
24.437,0.6393334333333334,0.13933343333333337,69.9819636346102
24.375,0.6508475610169491,0.14237298474576265,68.50350829871338
24.437,0.5594367183098591,0.13690150704225354,71.75855171393243
24.437,0.5674286728571428,0.1388572442857143,70.74786719646333
24.5,0.6508475559322033,0.14237297966101692,68.50351062835304
24.5,0.6095239095238094,0.13333343333333333,73.1478122876963
24.437,0.6193549338709677,0.1354839661290322,71.9867391663051
24.437,0.6508475576271185,0.14237298135593215,68.50350985180647
24.437,0.650169593220339,0.14169501694915257,68.81559757403336
24.437,0.5847059867647059,0.14352951617647058,68.45927131486386
24.437,0.6295082983606556,0.13770501967213108,70.82566031952845
24.437,0.5600001014084507,0.13746489014084506,71.47953258991384
24.437,0.6400001016666667,0.14000010166666663,69.66458471055597
24.437,0.6508475593220339,0.14237298305084742,68.50350907525991
24.437,0.6400001,0.14000009999999996,69.66458550026432
24.437,0.6400000983333333,0.1400000983333333,69.66458628997269
24.437,0.6400000983333333,0.1400000983333333,69.66458628997269
24.437,0.6400001033333332,0.14000010333333326,69.66458392084766
24.437,0.662069070689655,0.14482769137931029,67.34243188687078
